"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SYNPR-AS1",0.120883650166507,-1.11784781709478,3.08130374490424,0.0035066418363169,0.418018717592144,-1.85676366788749
"CEACAM6",-0.0765387568101403,8.78896964156284,-3.0800185835082,0.00351913522477323,0.418018717592144,-2.15907970475488
"FBXO15",0.164872592741843,2.35483926768778,3.0743514682786,0.00357472746789052,0.418018717592144,-1.88778626957393
"TRIB3",0.070090353436358,2.37115394602835,3.07174444440741,0.00360057762581126,0.418018717592144,-1.89519254982864
"MGMT",0.0734152539927658,5.03218678495515,3.07118067955443,0.00360619073602391,0.418018717592144,-2.05440219698196
"DAW1",0.185950532338453,3.21109723452555,3.0711173859724,0.00360682143010972,0.418018717592144,-1.94136729731394
"FAM229B",0.151624499315421,4.59632473476867,3.06848730882154,0.00363312087884707,0.418018717592144,-2.03380885713711
"CXCL6",-0.119514730710892,5.13351419710955,-3.06424001254944,0.00367597246198103,0.418018717592144,-2.06006031760592
"KCNRG",0.115795954399374,3.59718310579025,3.06228348083748,0.00369587152367081,0.418018717592144,-1.9844369565102
"C6orf118",0.199899373359359,3.02120741008121,3.06149403404192,0.00370392926944826,0.418018717592144,-1.95246354041651
"RFPL3",-0.138735946626813,-3.03792370867579,-3.06130117256875,0.00370590027936625,0.418018717592144,-2.01621407000306
"LINC01564",0.112633777578565,-1.12224659300285,3.05831417919284,0.00373655288086998,0.418018717592144,-1.90418217082363
"FILIP1",0.210461535079872,0.572071567614402,3.05385846228075,0.00378272036823665,0.418018717592144,-1.88555334300578
"WDR78",0.160154370949909,3.60840953334175,3.05124855003091,0.00381001092303563,0.418018717592144,-2.01295018642081
"FDXR",0.0773556807920359,5.05240623431468,3.05041557599453,0.00381875975877249,0.418018717592144,-2.10669473215524
"HSF2BP",0.0772765120021549,0.0423270340254323,3.0469417622462,0.00385544941426794,0.418018717592144,-1.90124786076503
"NGRN",0.0541016114117627,6.99432078002017,3.04556148796734,0.00387011921548413,0.418018717592144,-2.2135226622747
"IL5RA",0.159488979682356,3.29837221033591,3.04529101090812,0.00387300002614235,0.418018717592144,-2.00841181053998
"CFAP52",0.177257589177898,3.85616365874308,3.04476916106587,0.0038785638592079,0.418018717592144,-2.04512955200016
"RPS4Y1",0.377342932457202,1.59078969833432,3.04418758957531,0.00388477326784788,0.418018717592144,-1.9513707515853
"LRTOMT",0.0697332655075299,5.79077792001534,3.04239897905894,0.00390392869015238,0.418018717592144,-2.17088465507108
"LOC101927691",-0.0957110885028861,-0.690474408140989,-3.04148171460064,0.00391378663763194,0.418018717592144,-1.93112712389453
"CYP2A7",0.0904847455697969,2.69102180606376,3.0408312045257,0.00392079189696962,0.418018717592144,-1.99203857454069
"FGFBP2",0.107278202372907,-0.478606999074107,3.04079946012668,0.00392113404923608,0.418018717592144,-1.9212724167032
"ASB9",0.107831766658894,-0.366160830478596,3.03784520236988,0.00395309899313257,0.418018717592144,-1.92728908626912
"CXorf36",-0.176111209897276,-4.52852173103991,-3.03722220344176,0.00395987095720224,0.418018717592144,-2.17924284968666
"USP2-AS1",0.1779305578447,0.660865956863214,3.03598389866663,0.0039733635915048,0.418018717592144,-1.92778412116883
"RGS22",0.175344694095696,1.80052115795322,3.03463010197147,0.00398816397860764,0.418018717592144,-1.95912327375404
"CCL23",0.179505181303564,-3.34054672085129,3.03372543594361,0.00399808305344267,0.418018717592144,-2.08225323260786
"ANKFN1",0.232693443841447,0.60097536528222,3.03290480012008,0.00400710080477606,0.418018717592144,-1.93343597588398
"ECT2L",0.148826643605146,3.39147523507776,3.03267917039936,0.00400958353242718,0.418018717592144,-2.04436877683641
"NDUFS5",0.0611233958600847,6.54721597838824,3.03063582760261,0.00403213334900454,0.418018717592144,-2.23576536217754
"FAM216B",0.200111100901937,4.78716253675477,3.02933657568606,0.00404653336938337,0.418018717592144,-2.141835029935
"DNPH1",0.0909698243174717,5.32994501087695,3.02228537412561,0.00412552886919961,0.418018717592144,-2.19458193685353
"SMPD2",0.067109202105689,5.57510610996696,3.02209302372001,0.00412770391994922,0.418018717592144,-2.20875571222895
