"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MT1H",-1.52301596186846,-1.02464154759882,-2.60393265023165,0.0124396190869908,0.991925032723052,-4.48865228792865
"GLIPR2",0.360596644017007,7.03450408596005,2.60273940221147,0.0124771934199954,0.991925032723052,-4.02432618314876
"MIR1307",-1.19927165455387,-0.0531989445252825,-2.60031734766965,0.0125537813306105,0.991925032723052,-4.45830172420343
"CCDC85B",-0.762480750505898,3.30774188081734,-2.59968002791173,0.0125740054077244,0.991925032723052,-4.2667013607724
"TMEM145",-1.76216647976083,-4.40613741504914,-2.59502046524986,0.0127227753515116,0.991925032723052,-4.5413381141048
"NSG1",-0.70991111758518,2.49845378768126,-2.59209762794293,0.0128169151808429,0.991925032723052,-4.33776657332625
"LOC102723604",1.64974019404233,-4.88289168857242,2.58635806420386,0.0130036329881029,0.991925032723052,-4.52713835736881
"TECPR2",0.469951167342566,5.93994204817461,2.58587722110032,0.0130193879683341,0.991925032723052,-4.07459815371736
"BACH1-IT2",1.57498782663352,-3.62182821423601,2.58303283738747,0.0131129425103423,0.991925032723052,-4.51871360212235
"C10orf99",-2.18195858388857,-2.6425643565088,-2.58268594359156,0.0131243941175918,0.991925032723052,-4.52758542950061
"PKD2L1",1.67029640372494,-3.40197899631501,2.57912929384181,0.013242334000963,0.991925032723052,-4.51090369958458
"LINC00880",-1.28005771521141,-1.89888507451255,-2.57203188497788,0.013480585399827,0.991925032723052,-4.51120880068116
"TBATA",-1.78041792157273,-4.13100898592951,-2.57096652885096,0.0135166840845259,0.991925032723052,-4.5388388624723
"DLSTP1",1.08560758671658,0.156171843421446,2.57077814506977,0.0135230764842388,0.991925032723052,-4.42582607617158
"UTS2",1.94825552255381,-3.88941922176547,2.5699521273151,0.0135511382239923,0.991925032723052,-4.51989483785525
"ARL11",0.826312482659895,1.84482526576335,2.56836574294688,0.013605180526323,0.991925032723052,-4.32914152013654
"KRT42P",-1.40604092559961,-0.206137483530696,-2.56721115220629,0.0136446368295444,0.991925032723052,-4.47063414434654
"BCORL1",0.465635258038136,2.83073082770242,2.56506424572332,0.013718281738721,0.991925032723052,-4.27766483912961
"IDH1-AS1",-1.48327980961971,-1.26517335190656,-2.56032686359704,0.0138820722734477,0.991925032723052,-4.49842074245264
"ERICH6",-1.06317851691733,-1.39129283130688,-2.56002758990768,0.0138924790571922,0.991925032723052,-4.50013593411702
"LOC101928233",-1.87110918768969,-1.57512168560372,-2.56002552391046,0.0138925509238091,0.991925032723052,-4.50589405507629
"RAB29",0.580131072193165,2.64883900345828,2.55810981844985,0.0139593357319264,0.991925032723052,-4.2994086546593
"MEIG1",-1.853601624662,0.0580595976887241,-2.55782706927371,0.0139692176229377,0.991925032723052,-4.47169827394347
"OR7E37P",-1.02361635137658,-0.78161390499897,-2.55750860017032,0.0139803555420667,0.991925032723052,-4.47739684509752
"CBR3-AS1",-0.573519843090331,3.28101570832337,-2.55403554912611,0.0141023465642648,0.991925032723052,-4.29440800441881
"NPAS3",-1.82728996063494,-3.43227925783352,-2.55142988395157,0.0141945071320063,0.991925032723052,-4.53581936363113
"LOC105447645",0.524204064601813,6.91583524131918,2.54957591454088,0.0142604147463555,0.991925032723052,-4.05220189612562
"ST7-AS2",0.573373750901242,0.807641442644191,2.54902527051574,0.0142800435117208,0.991925032723052,-4.39729640317309
"PROL1",1.90178364990427,-4.86789816134284,2.5480880987633,0.0143135074405612,0.991925032723052,-4.5300347704627
"NCRNA00250",-1.65657080669261,-4.83647881319986,-2.54304197363712,0.0144949229988728,0.991925032723052,-4.54649555644801
"MIR548I3",-1.60969787983965,-5.02878949773077,-2.54109191379738,0.014565590006369,0.991925032723052,-4.54706756589608
"SERPINA6",-1.94391196818374,-3.22166146330837,-2.5401487547452,0.0145998810580305,0.991925032723052,-4.53219208780191
"ZNF781",-1.85192101528312,-3.79143178451892,-2.54002713138139,0.0146043083478618,0.991925032723052,-4.54110229696288
"YTHDF3-AS1",-0.899934319827038,1.44225485151228,-2.53215066290042,0.0148936423658875,0.991925032723052,-4.39952168872178
"SCARNA2",-1.47871791679643,-2.02301882242782,-2.52875753601582,0.0150198862835254,0.991925032723052,-4.51659711066124
